"WeekEndDate"	"LTLA"	"Lineage"	"Count"
"2020-09-05"	"E06000001"	"B.1.1.309"	1
"2020-09-05"	"E06000001"	"B.1.160"	1
"2020-09-05"	"E06000001"	"B.1.177"	1
"2020-09-05"	"E06000002"	"AD.2"	3
"2020-09-05"	"E06000002"	"B.1.1.309"	3
"2020-09-05"	"E06000003"	"B.1.1.39"	1
"2020-09-05"	"E06000003"	"B.1.177.56"	1
"2020-09-05"	"E06000004"	"B.1.1.309"	5
"2020-09-05"	"E06000004"	"B.1.177"	2
"2020-09-05"	"E06000005"	"B.1.177"	1
"2020-09-05"	"E06000005"	"B.1.389"	1
"2020-09-05"	"E06000006"	"Lineage data suppressed"	1
"2020-09-05"	"E06000007"	"B.1.1.279"	5
"2020-09-05"	"E06000007"	"B.1.1.311"	1
"2020-09-05"	"E06000007"	"B.1.177"	1
"2020-09-05"	"E06000008"	"AD.2"	1
"2020-09-05"	"E06000008"	"B.1.1.51"	1
"2020-09-05"	"E06000008"	"B.1.610"	1
"2020-09-05"	"E06000010"	"B.1.1.37"	1
"2020-09-05"	"E06000010"	"B.1.367"	1
"2020-09-05"	"E06000011"	"Lineage data suppressed"	1
"2020-09-05"	"E06000014"	"AD.2"	1
"2020-09-05"	"E06000014"	"B.1.36.17"	1
"2020-09-05"	"E06000014"	"B.1.367"	1
"2020-09-05"	"E06000015"	"A.25"	2
"2020-09-05"	"E06000015"	"B.1.177"	1
"2020-09-05"	"E06000016"	"B.1.1"	1
"2020-09-05"	"E06000016"	"B.1.1.301"	13
"2020-09-05"	"E06000016"	"B.1.1.37"	1
"2020-09-05"	"E06000016"	"B.1.177"	1
"2020-09-05"	"E06000016"	"None"	1
"2020-09-05"	"E06000017"	"Lineage data suppressed"	1
"2020-09-05"	"E06000018"	"AD.2"	1
"2020-09-05"	"E06000018"	"B.1.1.253"	3
"2020-09-05"	"E06000018"	"B.1.1.255"	1
"2020-09-05"	"E06000018"	"B.1.1.301"	1
"2020-09-05"	"E06000018"	"B.1.1.303"	2
"2020-09-05"	"E06000018"	"B.1.1.37"	1
"2020-09-05"	"E06000018"	"B.1.177.44"	1
