"areaCode","areaName","areaType","date","age","cases","rollingSum","rollingRate"
"E92000001","England","nation","2021-11-24","00_04",1218,7968,246
"E92000001","England","nation","2021-11-24","00_59",35639,228623,533.1
"E92000001","England","nation","2021-11-24","05_09",5193,34914,986.4
"E92000001","England","nation","2021-11-24","10_14",6104,39382,1146.3
"E92000001","England","nation","2021-11-24","15_19",2451,16207,520.1
"E92000001","England","nation","2021-11-24","20_24",1462,8818,253.9
"E92000001","England","nation","2021-11-24","25_29",1963,12309,326.4
"E92000001","England","nation","2021-11-24","30_34",2649,16417,429.2
"E92000001","England","nation","2021-11-24","35_39",3158,19631,525.1
"E92000001","England","nation","2021-11-24","40_44",3704,23058,663.3
"E92000001","England","nation","2021-11-24","45_49",3019,19599,538.6
"E92000001","England","nation","2021-11-24","50_54",2598,16751,432.2
"E92000001","England","nation","2021-11-24","55_59",2120,13569,360.7
"E92000001","England","nation","2021-11-24","60+",2966,20190,147.8
"E92000001","England","nation","2021-11-24","60_64",1419,9391,293.8
"E92000001","England","nation","2021-11-24","65_69",711,4921,176.7
"E92000001","England","nation","2021-11-24","70_74",373,2633,93.6
"E92000001","England","nation","2021-11-24","75_79",207,1475,73.4
"E92000001","England","nation","2021-11-24","80_84",124,815,56.2
"E92000001","England","nation","2021-11-24","85_89",63,574,64.8
"E92000001","England","nation","2021-11-24","90+",69,381,73.1
"E92000001","England","nation","2021-11-24","unassigned",17,75,NA
"E92000001","England","nation","2021-11-23","00_04",1297,7918,244.4
"E92000001","England","nation","2021-11-23","00_59",36963,227077,529.4
"E92000001","England","nation","2021-11-23","05_09",6090,34667,979.4
"E92000001","England","nation","2021-11-23","10_14",6579,39045,1136.5
"E92000001","England","nation","2021-11-23","15_19",2665,16187,519.5
"E92000001","England","nation","2021-11-23","20_24",1346,8810,253.7
"E92000001","England","nation","2021-11-23","25_29",1977,12327,326.8
"E92000001","England","nation","2021-11-23","30_34",2747,16285,425.8
"E92000001","England","nation","2021-11-23","35_39",3135,19363,518
"E92000001","England","nation","2021-11-23","40_44",3598,22708,653.2
"E92000001","England","nation","2021-11-23","45_49",3008,19601,538.7
"E92000001","England","nation","2021-11-23","50_54",2526,16655,429.8
"E92000001","England","nation","2021-11-23","55_59",1995,13511,359.2
"E92000001","England","nation","2021-11-23","60+",2865,20495,150
"E92000001","England","nation","2021-11-23","60_64",1366,9389,293.7
"E92000001","England","nation","2021-11-23","65_69",680,5027,180.5
"E92000001","England","nation","2021-11-23","70_74",350,2725,96.8
"E92000001","England","nation","2021-11-23","75_79",215,1523,75.8
"E92000001","England","nation","2021-11-23","80_84",98,833,57.5
"E92000001","England","nation","2021-11-23","85_89",90,618,69.8
"E92000001","England","nation","2021-11-23","90+",66,380,72.9
"E92000001","England","nation","2021-11-23","unassigned",11,72,NA
"E92000001","England","nation","2021-11-22","00_04",1278,7863,242.7
"E92000001","England","nation","2021-11-22","00_59",38391,224507,523.5
"E92000001","England","nation","2021-11-22","05_09",6235,34024,961.3
"E92000001","England","nation","2021-11-22","10_14",7004,38562,1122.4
"E92000001","England","nation","2021-11-22","15_19",2725,15986,513.1
"E92000001","England","nation","2021-11-22","20_24",1486,8800,253.4
"E92000001","England","nation","2021-11-22","25_29",1979,12250,324.8
"E92000001","England","nation","2021-11-22","30_34",2669,16026,419
"E92000001","England","nation","2021-11-22","35_39",3215,19100,510.9
"E92000001","England","nation","2021-11-22","40_44",3700,22386,644
"E92000001","England","nation","2021-11-22","45_49",3207,19402,533.2
"E92000001","England","nation","2021-11-22","50_54",2696,16591,428.1
"E92000001","England","nation","2021-11-22","55_59",2197,13517,359.3
"E92000001","England","nation","2021-11-22","60+",3324,20841,152.6
"E92000001","England","nation","2021-11-22","60_64",1532,9444,295.4
"E92000001","England","nation","2021-11-22","65_69",810,5130,184.2
"E92000001","England","nation","2021-11-22","70_74",390,2871,102
"E92000001","England","nation","2021-11-22","75_79",267,1522,75.7
"E92000001","England","nation","2021-11-22","80_84",158,876,60.4
"E92000001","England","nation","2021-11-22","85_89",98,622,70.3
"E92000001","England","nation","2021-11-22","90+",69,376,72.2
"E92000001","England","nation","2021-11-22","unassigned",18,72,NA
"E92000001","England","nation","2021-11-21","00_04",956,7939,245.1
"E92000001","England","nation","2021-11-21","00_59",28551,223747,521.7
"E92000001","England","nation","2021-11-21","05_09",4174,33670,951.3
"E92000001","England","nation","2021-11-21","10_14",5363,38448,1119.1
"E92000001","England","nation","2021-11-21","15_19",2137,16048,515
"E92000001","England","nation","2021-11-21","20_24",1014,8700,250.5
"E92000001","England","nation","2021-11-21","25_29",1488,12274,325.4
"E92000001","England","nation","2021-11-21","30_34",1953,16023,418.9
"E92000001","England","nation","2021-11-21","35_39",2344,18867,504.7
"E92000001","England","nation","2021-11-21","40_44",2905,22309,641.7
"E92000001","England","nation","2021-11-21","45_49",2443,19231,528.5
"E92000001","England","nation","2021-11-21","50_54",2134,16644,429.5
"E92000001","England","nation","2021-11-21","55_59",1640,13594,361.4
"E92000001","England","nation","2021-11-21","60+",2398,21375,156.5
"E92000001","England","nation","2021-11-21","60_64",1198,9615,300.8
"E92000001","England","nation","2021-11-21","65_69",530,5281,189.7
"E92000001","England","nation","2021-11-21","70_74",316,3039,108
"E92000001","England","nation","2021-11-21","75_79",162,1513,75.3
"E92000001","England","nation","2021-11-21","80_84",85,895,61.8
"E92000001","England","nation","2021-11-21","85_89",79,646,73
"E92000001","England","nation","2021-11-21","90+",28,386,74.1
"E92000001","England","nation","2021-11-21","unassigned",5,67,NA
"E92000001","England","nation","2021-11-20","00_04",967,7892,243.6
"E92000001","England","nation","2021-11-20","00_59",26686,221365,516.1
"E92000001","England","nation","2021-11-20","05_09",4189,33148,936.5
"E92000001","England","nation","2021-11-20","10_14",4398,38059,1107.8
"E92000001","England","nation","2021-11-20","15_19",1977,16001,513.5
"E92000001","England","nation","2021-11-20","20_24",1008,8669,249.6
"E92000001","England","nation","2021-11-20","25_29",1396,12163,322.5
"E92000001","England","nation","2021-11-20","30_34",1822,15934,416.6
"E92000001","England","nation","2021-11-20","35_39",2326,18635,498.5
"E92000001","England","nation","2021-11-20","40_44",2705,21842,628.3
"E92000001","England","nation","2021-11-20","45_49",2294,18967,521.3
"E92000001","England","nation","2021-11-20","50_54",1939,16423,423.8
"E92000001","England","nation","2021-11-20","55_59",1665,13632,362.4
"E92000001","England","nation","2021-11-20","60+",2451,21702,158.9
"E92000001","England","nation","2021-11-20","60_64",1128,9627,301.1
"E92000001","England","nation","2021-11-20","65_69",632,5445,195.6
"E92000001","England","nation","2021-11-20","70_74",327,3128,111.2
"E92000001","England","nation","2021-11-20","75_79",169,1533,76.3
"E92000001","England","nation","2021-11-20","80_84",103,909,62.7
"E92000001","England","nation","2021-11-20","85_89",56,649,73.3
"E92000001","England","nation","2021-11-20","90+",36,411,78.9
"E92000001","England","nation","2021-11-20","unassigned",4,69,NA
"E92000001","England","nation","2021-11-19","00_04",1056,7872,243
"E92000001","England","nation","2021-11-19","00_59",29413,218644,509.8
"E92000001","England","nation","2021-11-19","05_09",4290,32497,918.1
"E92000001","England","nation","2021-11-19","10_14",4700,37552,1093
"E92000001","England","nation","2021-11-19","15_19",2000,15740,505.2
"E92000001","England","nation","2021-11-19","20_24",1183,8621,248.3
"E92000001","England","nation","2021-11-19","25_29",1671,12069,320
"E92000001","England","nation","2021-11-19","30_34",2104,15892,415.5
"E92000001","England","nation","2021-11-19","35_39",2503,18379,491.7
"E92000001","England","nation","2021-11-19","40_44",3042,21423,616.3
"E92000001","England","nation","2021-11-19","45_49",2664,18700,513.9
"E92000001","England","nation","2021-11-19","50_54",2306,16373,422.5
"E92000001","England","nation","2021-11-19","55_59",1894,13526,359.6
"E92000001","England","nation","2021-11-19","60+",2987,22072,161.6
"E92000001","England","nation","2021-11-19","60_64",1322,9678,302.7
"E92000001","England","nation","2021-11-19","65_69",764,5550,199.3
"E92000001","England","nation","2021-11-19","70_74",412,3242,115.2
"E92000001","England","nation","2021-11-19","75_79",216,1598,79.5
"E92000001","England","nation","2021-11-19","80_84",118,920,63.5
"E92000001","England","nation","2021-11-19","85_89",91,672,75.9
"E92000001","England","nation","2021-11-19","90+",64,412,79.1
"E92000001","England","nation","2021-11-19","unassigned",10,72,NA
"E92000001","England","nation","2021-11-18","00_04",1196,7766,239.7
"E92000001","England","nation","2021-11-18","00_59",32980,216267,504.2
"E92000001","England","nation","2021-11-18","05_09",4743,31885,900.8
"E92000001","England","nation","2021-11-18","10_14",5234,36981,1076.4
"E92000001","England","nation","2021-11-18","15_19",2252,15664,502.7
"E92000001","England","nation","2021-11-18","20_24",1319,8553,246.3
"E92000001","England","nation","2021-11-18","25_29",1835,12021,318.7
"E92000001","England","nation","2021-11-18","30_34",2473,15864,414.8
"E92000001","England","nation","2021-11-18","35_39",2950,18319,490
"E92000001","England","nation","2021-11-18","40_44",3404,20984,603.6
"E92000001","England","nation","2021-11-18","45_49",2964,18443,506.9
"E92000001","England","nation","2021-11-18","50_54",2552,16326,421.3
"E92000001","England","nation","2021-11-18","55_59",2058,13461,357.8
"E92000001","England","nation","2021-11-18","60+",3199,22592,165.4
"E92000001","England","nation","2021-11-18","60_64",1426,9707,303.6
"E92000001","England","nation","2021-11-18","65_69",794,5714,205.2
"E92000001","England","nation","2021-11-18","70_74",465,3407,121.1
"E92000001","England","nation","2021-11-18","75_79",239,1689,84
"E92000001","England","nation","2021-11-18","80_84",129,940,64.9
"E92000001","England","nation","2021-11-18","85_89",97,706,79.7
"E92000001","England","nation","2021-11-18","90+",49,429,82.3
"E92000001","England","nation","2021-11-18","unassigned",10,72,NA
"E92000001","England","nation","2021-11-17","00_04",1168,7572,233.7
"E92000001","England","nation","2021-11-17","00_59",34093,212499,495.5
"E92000001","England","nation","2021-11-17","05_09",4946,30825,870.9
"E92000001","England","nation","2021-11-17","10_14",5767,36214,1054.1
"E92000001","England","nation","2021-11-17","15_19",2431,15619,501.3
"E92000001","England","nation","2021-11-17","20_24",1454,8493,244.6
"E92000001","England","nation","2021-11-17","25_29",1981,11986,317.8
"E92000001","England","nation","2021-11-17","30_34",2517,15668,409.7
"E92000001","England","nation","2021-11-17","35_39",2890,17903,478.9
"E92000001","England","nation","2021-11-17","40_44",3354,20614,593
"E92000001","England","nation","2021-11-17","45_49",3021,18101,497.5
"E92000001","England","nation","2021-11-17","50_54",2502,16128,416.2
"E92000001","England","nation","2021-11-17","55_59",2062,13376,355.6
"E92000001","England","nation","2021-11-17","60+",3271,23073,168.9
"E92000001","England","nation","2021-11-17","60_64",1417,9741,304.7
"E92000001","England","nation","2021-11-17","65_69",817,5889,211.5
"E92000001","England","nation","2021-11-17","70_74",465,3539,125.8
"E92000001","England","nation","2021-11-17","75_79",255,1757,87.4
"E92000001","England","nation","2021-11-17","80_84",142,960,66.2
"E92000001","England","nation","2021-11-17","85_89",107,732,82.7
"E92000001","England","nation","2021-11-17","90+",68,455,87.3
"E92000001","England","nation","2021-11-17","unassigned",14,69,NA
"E92000001","England","nation","2021-11-16","00_04",1242,7428,229.3
"E92000001","England","nation","2021-11-16","00_59",34393,209026,487.4
"E92000001","England","nation","2021-11-16","05_09",5447,29819,842.5
"E92000001","England","nation","2021-11-16","10_14",6096,34999,1018.7
"E92000001","England","nation","2021-11-16","15_19",2464,15571,499.7
"E92000001","England","nation","2021-11-16","20_24",1336,8432,242.8
"E92000001","England","nation","2021-11-16","25_29",1900,11933,316.4
"E92000001","England","nation","2021-11-16","30_34",2488,15474,404.6
"E92000001","England","nation","2021-11-16","35_39",2872,17638,471.8
"E92000001","England","nation","2021-11-16","40_44",3276,20332,584.9
"E92000001","England","nation","2021-11-16","45_49",2809,17818,489.7
"E92000001","England","nation","2021-11-16","50_54",2462,16181,417.5
"E92000001","England","nation","2021-11-16","55_59",2001,13401,356.2
"E92000001","England","nation","2021-11-16","60+",3211,23731,173.7
"E92000001","England","nation","2021-11-16","60_64",1421,9884,309.2
"E92000001","England","nation","2021-11-16","65_69",783,6089,218.7
"E92000001","England","nation","2021-11-16","70_74",496,3717,132.1
"E92000001","England","nation","2021-11-16","75_79",214,1817,90.4
"E92000001","England","nation","2021-11-16","80_84",141,982,67.8
"E92000001","England","nation","2021-11-16","85_89",94,755,85.3
"E92000001","England","nation","2021-11-16","90+",62,487,93.5
"E92000001","England","nation","2021-11-16","unassigned",11,65,NA
"E92000001","England","nation","2021-11-15","00_04",1354,7188,221.9
"E92000001","England","nation","2021-11-15","00_59",37631,204710,477.3
"E92000001","England","nation","2021-11-15","05_09",5881,28287,799.2
"E92000001","England","nation","2021-11-15","10_14",6890,33676,980.2
"E92000001","England","nation","2021-11-15","15_19",2787,15435,495.4
"E92000001","England","nation","2021-11-15","20_24",1386,8422,242.5
"E92000001","England","nation","2021-11-15","25_29",2003,11873,314.8
"E92000001","England","nation","2021-11-15","30_34",2666,15353,401.4
"E92000001","England","nation","2021-11-15","35_39",2982,17384,465
"E92000001","England","nation","2021-11-15","40_44",3623,20037,576.4
"E92000001","England","nation","2021-11-15","45_49",3036,17535,481.9
"E92000001","England","nation","2021-11-15","50_54",2749,16125,416.1
"E92000001","England","nation","2021-11-15","55_59",2274,13395,356.1
"E92000001","England","nation","2021-11-15","60+",3858,24313,178
"E92000001","England","nation","2021-11-15","60_64",1703,9947,311.2
"E92000001","England","nation","2021-11-15","65_69",961,6264,225
"E92000001","England","nation","2021-11-15","70_74",558,3840,136.5
"E92000001","England","nation","2021-11-15","75_79",258,1965,97.8
"E92000001","England","nation","2021-11-15","80_84",177,1015,70
"E92000001","England","nation","2021-11-15","85_89",122,771,87.1
"E92000001","England","nation","2021-11-15","90+",79,511,98.1
"E92000001","England","nation","2021-11-15","unassigned",13,65,NA
"E92000001","England","nation","2021-11-14","00_04",909,6948,214.5
"E92000001","England","nation","2021-11-14","00_59",26169,198096,461.9
"E92000001","England","nation","2021-11-14","05_09",3652,26307,743.2
"E92000001","England","nation","2021-11-14","10_14",4974,31713,923.1
"E92000001","England","nation","2021-11-14","15_19",2090,15126,485.5
"E92000001","England","nation","2021-11-14","20_24",983,8543,246
"E92000001","England","nation","2021-11-14","25_29",1377,11762,311.9
"E92000001","England","nation","2021-11-14","30_34",1864,15031,393
"E92000001","England","nation","2021-11-14","35_39",2112,16975,454.1
"E92000001","England","nation","2021-11-14","40_44",2438,19417,558.6
"E92000001","England","nation","2021-11-14","45_49",2179,17102,470
"E92000001","England","nation","2021-11-14","50_54",1913,15928,411
"E92000001","England","nation","2021-11-14","55_59",1678,13244,352.1
"E92000001","England","nation","2021-11-14","60+",2725,24704,180.8
"E92000001","England","nation","2021-11-14","60_64",1210,9942,311
"E92000001","England","nation","2021-11-14","65_69",694,6349,228
"E92000001","England","nation","2021-11-14","70_74",405,3991,141.8
"E92000001","England","nation","2021-11-14","75_79",182,2095,104.2
"E92000001","England","nation","2021-11-14","80_84",99,1004,69.3
"E92000001","England","nation","2021-11-14","85_89",82,794,89.7
"E92000001","England","nation","2021-11-14","90+",53,529,101.5
"E92000001","England","nation","2021-11-14","unassigned",7,66,NA
"E92000001","England","nation","2021-11-13","00_04",947,6739,208
"E92000001","England","nation","2021-11-13","00_59",23965,193937,452.2
"E92000001","England","nation","2021-11-13","05_09",3538,25082,708.6
"E92000001","England","nation","2021-11-13","10_14",3891,30302,882
"E92000001","England","nation","2021-11-13","15_19",1716,14899,478.2
"E92000001","England","nation","2021-11-13","20_24",960,8562,246.6
"E92000001","England","nation","2021-11-13","25_29",1302,11689,309.9
"E92000001","England","nation","2021-11-13","30_34",1780,14765,386
"E92000001","England","nation","2021-11-13","35_39",2070,16709,447
