"areaCode","areaName","areaType","date","age","VaccineRegisterPopulationByVaccinationDate","cumPeopleVaccinatedCompleteByVaccinationDate","newPeopleVaccinatedCompleteByVaccinationDate","cumPeopleVaccinatedFirstDoseByVaccinationDate","newPeopleVaccinatedFirstDoseByVaccinationDate","cumPeopleVaccinatedSecondDoseByVaccinationDate","newPeopleVaccinatedSecondDoseByVaccinationDate","cumVaccinationFirstDoseUptakeByVaccinationDatePercentage","cumVaccinationCompleteCoverageByVaccinationDatePercentage","cumVaccinationSecondDoseUptakeByVaccinationDatePercentage"
"E92000001","England","nation","2021-11-28","12_15",2879525,17497,459,1188937,6475,17497,459,41.3,0.6,0.6
"E92000001","England","nation","2021-11-28","16_17",1369364,242155,11711,811434,1407,242155,11711,59.3,17.7,17.7
"E92000001","England","nation","2021-11-28","18_24",5331859,3129806,2792,3618466,1405,3129806,2792,67.9,58.7,58.7
"E92000001","England","nation","2021-11-28","25_29",4505879,2651505,1748,2957096,971,2651505,1748,65.6,58.8,58.8
"E92000001","England","nation","2021-11-28","30_34",4816149,2987234,1529,3265744,900,2987234,1529,67.8,62,62
"E92000001","England","nation","2021-11-28","35_39",4577399,3065841,1080,3280260,542,3065841,1080,71.7,67,67
"E92000001","England","nation","2021-11-28","40_44",4203330,3069479,750,3227679,362,3069479,750,76.8,73,73
"E92000001","England","nation","2021-11-28","45_49",3990390,3154468,557,3273964,256,3154468,557,82,79.1,79.1
"E92000001","England","nation","2021-11-28","50_54",4243493,3576055,470,3673356,213,3576055,470,86.6,84.3,84.3
"E92000001","England","nation","2021-11-28","55_59",4117987,3579291,778,3662983,147,3579291,778,89,86.9,86.9
"E92000001","England","nation","2021-11-28","60_64",3506304,3116781,724,3180162,125,3116781,724,90.7,88.9,88.9
"E92000001","England","nation","2021-11-28","65_69",2918584,2664604,142,2698247,90,2664604,142,92.5,91.3,91.3
"E92000001","England","nation","2021-11-28","70_74",2860450,2681894,68,2704895,58,2681894,68,94.6,93.8,93.8
"E92000001","England","nation","2021-11-28","75_79",2155056,2046447,51,2061831,37,2046447,51,95.7,95,95
"E92000001","England","nation","2021-11-28","80_84",1437161,1366264,26,1376688,23,1366264,26,95.8,95.1,95.1
"E92000001","England","nation","2021-11-28","85_89",885995,841502,20,848780,9,841502,20,95.8,95,95
"E92000001","England","nation","2021-11-28","90+",499919,466202,14,471259,0,466202,14,94.3,93.3,93.3
"E92000001","England","nation","2021-11-27","12_15",2879525,17038,669,1182462,7955,17038,669,41.1,0.6,0.6
"E92000001","England","nation","2021-11-27","16_17",1369364,230444,13462,810027,1843,230444,13462,59.2,16.8,16.8
"E92000001","England","nation","2021-11-27","18_24",5331859,3127014,4534,3617061,2600,3127014,4534,67.8,58.6,58.6
"E92000001","England","nation","2021-11-27","25_29",4505879,2649757,2878,2956125,1719,2649757,2878,65.6,58.8,58.8
"E92000001","England","nation","2021-11-27","30_34",4816149,2985705,2513,3264844,1377,2985705,2513,67.8,62,62
"E92000001","England","nation","2021-11-27","35_39",4577399,3064761,1881,3279718,1027,3064761,1881,71.7,67,67
"E92000001","England","nation","2021-11-27","40_44",4203330,3068729,1291,3227317,645,3068729,1291,76.8,73,73
"E92000001","England","nation","2021-11-27","45_49",3990390,3153911,1027,3273708,535,3153911,1027,82,79,79
"E92000001","England","nation","2021-11-27","50_54",4243493,3575585,931,3673143,384,3575585,931,86.6,84.3,84.3
"E92000001","England","nation","2021-11-27","55_59",4117987,3578513,1367,3662836,300,3578513,1367,88.9,86.9,86.9
"E92000001","England","nation","2021-11-27","60_64",3506304,3116057,1302,3180037,230,3116057,1302,90.7,88.9,88.9
"E92000001","England","nation","2021-11-27","65_69",2918584,2664462,358,2698157,161,2664462,358,92.4,91.3,91.3
"E92000001","England","nation","2021-11-27","70_74",2860450,2681826,172,2704837,142,2681826,172,94.6,93.8,93.8
"E92000001","England","nation","2021-11-27","75_79",2155056,2046396,100,2061794,96,2046396,100,95.7,95,95
"E92000001","England","nation","2021-11-27","80_84",1437161,1366238,53,1376665,64,1366238,53,95.8,95.1,95.1
"E92000001","England","nation","2021-11-27","85_89",885995,841482,27,848771,25,841482,27,95.8,95,95
"E92000001","England","nation","2021-11-27","90+",499919,466188,11,471259,7,466188,11,94.3,93.3,93.3
"E92000001","England","nation","2021-11-26","12_15",2879525,16369,256,1174507,6231,16369,256,40.8,0.6,0.6
