Age_group,Median_perc_male,CI_95_LB_male,CI_95_UB_male,Sero_study_range_LB_male,Sero_study_range_UB_male,Median_perc_female,CI_95_LB_female,CI_95_UB_female,Sero_study_range_LB_female,Sero_study_range_UB_female,Median_perc_mean,CI_95_LB_mean,CI_95_UB_mean,Sero_study_range_LB_mean,Sero_study_range_UB_mean
0-4 ,0.003,0.002,0.004,0.001,0.006,0.003,0.002,0.003,0.001,0.005,0.003,0.002,0.003,0.001,0.006
5-9,0.001,0,0.001,0,0.001,0.001,0,0.001,0,0.001,0.001,0,0.001,0,0.001
10-14,0.001,0.001,0.002,0,0.002,0.001,0,0.001,0,0.001,0.001,0.001,0.001,0,0.002
15-19,0.003,0.002,0.003,0.001,0.005,0.002,0.002,0.003,0.001,0.005,0.003,0.002,0.003,0.001,0.005
20-24,0.008,0.007,0.009,0.002,0.015,0.005,0.004,0.006,0.002,0.01,0.006,0.005,0.008,0.002,0.012
25-29,0.017,0.014,0.02,0.005,0.032,0.009,0.008,0.011,0.003,0.018,0.013,0.011,0.015,0.004,0.025
30-34,0.033,0.028,0.038,0.01,0.062,0.015,0.013,0.018,0.005,0.03,0.024,0.021,0.028,0.007,0.046
35-39,0.056,0.048,0.065,0.017,0.105,0.025,0.021,0.029,0.008,0.048,0.04,0.034,0.047,0.012,0.077
40-44,0.106,0.091,0.123,0.032,0.198,0.044,0.038,0.051,0.013,0.083,0.075,0.064,0.087,0.022,0.14
45-49,0.168,0.144,0.195,0.05,0.315,0.073,0.063,0.085,0.022,0.14,0.121,0.104,0.14,0.036,0.227
50-54,0.291,0.25,0.336,0.087,0.545,0.123,0.105,0.142,0.037,0.231,0.207,0.177,0.239,0.062,0.388
55-59,0.448,0.384,0.518,0.134,0.838,0.197,0.169,0.228,0.06,0.372,0.323,0.277,0.373,0.097,0.605
60-64,0.595,0.511,0.688,0.18,1.122,0.318,0.273,0.367,0.096,0.598,0.456,0.392,0.527,0.138,0.86
65-69,1.452,1.244,1.68,0.436,2.723,0.698,0.598,0.807,0.209,1.308,1.075,0.921,1.244,0.323,2.016
70-74,2.307,1.976,2.668,0.692,4.325,1.042,0.893,1.206,0.313,1.954,1.674,1.435,1.937,0.502,3.139
75-79,4.26,3.651,4.929,1.279,7.988,2.145,1.838,2.482,0.644,4.022,3.203,2.744,3.705,0.961,6.005
80+,10.825,9.276,12.523,3.249,20.297,5.759,4.935,6.662,1.728,10.798,8.292,7.105,9.593,2.488,15.547
