"level","start_date","end_date","lower_age_limit","geography","geography_code","proportion_pos","proportion_pos_high_95","proportion_pos_low_95","population"
"age_school","2020-08-14","2020-08-14",2,"England","E92000001",3e-04,9e-04,1e-04,6254603
"age_school","2020-08-14","2020-08-14",11,"England","E92000001",2e-04,7e-04,1e-04,3370248
"age_school","2020-08-14","2020-08-14",16,"England","E92000001",4e-04,0.0011,1e-04,5950637
"age_school","2020-08-14","2020-08-14",25,"England","E92000001",5e-04,0.0012,2e-04,7596145
"age_school","2020-08-14","2020-08-14",35,"England","E92000001",3e-04,7e-04,1e-04,10853151
"age_school","2020-08-14","2020-08-14",50,"England","E92000001",2e-04,4e-04,1e-04,13618246
"age_school","2020-08-14","2020-08-14",70,"England","E92000001",2e-04,4e-04,1e-04,7679719
"age_school","2020-08-15","2020-08-15",2,"England","E92000001",4e-04,0.001,1e-04,6254603
"age_school","2020-08-15","2020-08-15",11,"England","E92000001",2e-04,7e-04,1e-04,3370248
"age_school","2020-08-15","2020-08-15",16,"England","E92000001",4e-04,0.0012,1e-04,5950637
"age_school","2020-08-15","2020-08-15",25,"England","E92000001",5e-04,0.0012,2e-04,7596145
"age_school","2020-08-15","2020-08-15",35,"England","E92000001",3e-04,7e-04,1e-04,10853151
"age_school","2020-08-15","2020-08-15",50,"England","E92000001",2e-04,4e-04,1e-04,13618246
"age_school","2020-08-15","2020-08-15",70,"England","E92000001",2e-04,4e-04,1e-04,7679719
"age_school","2020-08-16","2020-08-16",2,"England","E92000001",4e-04,0.001,1e-04,6254603
"age_school","2020-08-16","2020-08-16",11,"England","E92000001",2e-04,7e-04,1e-04,3370248
"age_school","2020-08-16","2020-08-16",16,"England","E92000001",4e-04,0.0012,1e-04,5950637
"age_school","2020-08-16","2020-08-16",25,"England","E92000001",5e-04,0.0013,2e-04,7596145
"age_school","2020-08-16","2020-08-16",35,"England","E92000001",3e-04,7e-04,1e-04,10853151
"age_school","2020-08-16","2020-08-16",50,"England","E92000001",2e-04,4e-04,1e-04,13618246
"age_school","2020-08-16","2020-08-16",70,"England","E92000001",2e-04,4e-04,1e-04,7679719
"age_school","2020-08-17","2020-08-17",2,"England","E92000001",4e-04,0.0011,2e-04,6254603
"age_school","2020-08-17","2020-08-17",11,"England","E92000001",2e-04,7e-04,1e-04,3370248
"age_school","2020-08-17","2020-08-17",16,"England","E92000001",5e-04,0.0013,2e-04,5950637
"age_school","2020-08-17","2020-08-17",25,"England","E92000001",6e-04,0.0013,2e-04,7596145
"age_school","2020-08-17","2020-08-17",35,"England","E92000001",3e-04,7e-04,1e-04,10853151
"age_school","2020-08-17","2020-08-17",50,"England","E92000001",2e-04,4e-04,1e-04,13618246
"age_school","2020-08-17","2020-08-17",70,"England","E92000001",2e-04,4e-04,1e-04,7679719
"age_school","2020-08-18","2020-08-18",2,"England","E92000001",4e-04,0.0011,2e-04,6254603
"age_school","2020-08-18","2020-08-18",11,"England","E92000001",2e-04,7e-04,1e-04,3370248
"age_school","2020-08-18","2020-08-18",16,"England","E92000001",5e-04,0.0013,2e-04,5950637
"age_school","2020-08-18","2020-08-18",25,"England","E92000001",6e-04,0.0013,2e-04,7596145
"age_school","2020-08-18","2020-08-18",35,"England","E92000001",3e-04,7e-04,1e-04,10853151
"age_school","2020-08-18","2020-08-18",50,"England","E92000001",2e-04,4e-04,1e-04,13618246
"age_school","2020-08-18","2020-08-18",70,"England","E92000001",2e-04,4e-04,1e-04,7679719
"age_school","2020-08-19","2020-08-19",2,"England","E92000001",5e-04,0.0011,2e-04,6254603
"age_school","2020-08-19","2020-08-19",11,"England","E92000001",2e-04,7e-04,1e-04,3370248
"age_school","2020-08-19","2020-08-19",16,"England","E92000001",5e-04,0.0014,2e-04,5950637
"age_school","2020-08-19","2020-08-19",25,"England","E92000001",6e-04,0.0013,2e-04,7596145
"age_school","2020-08-19","2020-08-19",35,"England","E92000001",3e-04,7e-04,1e-04,10853151
"age_school","2020-08-19","2020-08-19",50,"England","E92000001",2e-04,4e-04,1e-04,13618246
"age_school","2020-08-19","2020-08-19",70,"England","E92000001",2e-04,4e-04,1e-04,7679719
"age_school","2020-08-20","2020-08-20",2,"England","E92000001",5e-04,0.0011,2e-04,6254603
"age_school","2020-08-20","2020-08-20",11,"England","E92000001",2e-04,7e-04,1e-04,3370248
"age_school","2020-08-20","2020-08-20",16,"England","E92000001",6e-04,0.0014,2e-04,5950637
"age_school","2020-08-20","2020-08-20",25,"England","E92000001",6e-04,0.0014,3e-04,7596145
"age_school","2020-08-20","2020-08-20",35,"England","E92000001",3e-04,7e-04,1e-04,10853151
"age_school","2020-08-20","2020-08-20",50,"England","E92000001",2e-04,4e-04,1e-04,13618246
"age_school","2020-08-20","2020-08-20",70,"England","E92000001",2e-04,5e-04,1e-04,7679719
"age_school","2020-08-21","2020-08-21",2,"England","E92000001",0.00055,0.00115,2e-04,6254603
"age_school","2020-08-21","2020-08-21",11,"England","E92000001",0.00025,7e-04,1e-04,3370248
"age_school","2020-08-21","2020-08-21",16,"England","E92000001",0.00065,0.00145,0.00025,5950637
"age_school","2020-08-21","2020-08-21",25,"England","E92000001",0.00065,0.0013,3e-04,7596145
"age_school","2020-08-21","2020-08-21",35,"England","E92000001",0.00035,7e-04,0.00015,10853151
"age_school","2020-08-21","2020-08-21",50,"England","E92000001",2e-04,4e-04,1e-04,13618246
"age_school","2020-08-21","2020-08-21",70,"England","E92000001",2e-04,5e-04,1e-04,7679719
"age_school","2020-08-22","2020-08-22",2,"England","E92000001",0.00055,0.0012,0.00025,6254603
"age_school","2020-08-22","2020-08-22",11,"England","E92000001",0.00025,7e-04,1e-04,3370248
"age_school","2020-08-22","2020-08-22",16,"England","E92000001",0.00065,0.00155,0.00025,5950637
"age_school","2020-08-22","2020-08-22",25,"England","E92000001",0.00065,0.00135,3e-04,7596145
"age_school","2020-08-22","2020-08-22",35,"England","E92000001",0.00035,0.00065,0.00015,10853151
"age_school","2020-08-22","2020-08-22",50,"England","E92000001",2e-04,4e-04,1e-04,13618246
"age_school","2020-08-22","2020-08-22",70,"England","E92000001",2e-04,5e-04,1e-04,7679719
"age_school","2020-08-23","2020-08-23",2,"England","E92000001",6e-04,0.0012,0.00025,6254603
"age_school","2020-08-23","2020-08-23",11,"England","E92000001",0.00025,7e-04,1e-04,3370248
"age_school","2020-08-23","2020-08-23",16,"England","E92000001",7e-04,0.00155,3e-04,5950637
"age_school","2020-08-23","2020-08-23",25,"England","E92000001",0.00065,0.00135,0.00035,7596145
"age_school","2020-08-23","2020-08-23",35,"England","E92000001",0.00035,0.00065,0.00015,10853151
"age_school","2020-08-23","2020-08-23",50,"England","E92000001",2e-04,4e-04,1e-04,13618246
"age_school","2020-08-23","2020-08-23",70,"England","E92000001",0.00025,5e-04,1e-04,7679719
"age_school","2020-08-24","2020-08-24",2,"England","E92000001",6e-04,0.0013,3e-04,6254603
"age_school","2020-08-24","2020-08-24",11,"England","E92000001",0.00025,7e-04,1e-04,3370248
"age_school","2020-08-24","2020-08-24",16,"England","E92000001",0.00075,0.00165,3e-04,5950637
"age_school","2020-08-24","2020-08-24",25,"England","E92000001",7e-04,0.00135,0.00035,7596145
"age_school","2020-08-24","2020-08-24",35,"England","E92000001",0.00035,0.00065,0.00015,10853151
"age_school","2020-08-24","2020-08-24",50,"England","E92000001",2e-04,4e-04,1e-04,13618246
"age_school","2020-08-24","2020-08-24",70,"England","E92000001",3e-04,5e-04,1e-04,7679719
"age_school","2020-08-25","2020-08-25",2,"England","E92000001",0.00065,0.0014,3e-04,6254603
"age_school","2020-08-25","2020-08-25",11,"England","E92000001",0.00025,7e-04,1e-04,3370248
"age_school","2020-08-25","2020-08-25",16,"England","E92000001",0.00075,0.0017,3e-04,5950637
"age_school","2020-08-25","2020-08-25",25,"England","E92000001",7e-04,0.00135,0.00035,7596145
"age_school","2020-08-25","2020-08-25",35,"England","E92000001",0.00035,0.00065,0.00015,10853151
"age_school","2020-08-25","2020-08-25",50,"England","E92000001",2e-04,4e-04,1e-04,13618246
"age_school","2020-08-25","2020-08-25",70,"England","E92000001",3e-04,0.00055,1e-04,7679719
"age_school","2020-08-26","2020-08-26",2,"England","E92000001",7e-04,0.0014,0.00035,6254603
"age_school","2020-08-26","2020-08-26",11,"England","E92000001",0.00025,7e-04,1e-04,3370248
"age_school","2020-08-26","2020-08-26",16,"England","E92000001",8e-04,0.0017,0.00035,5950637
"age_school","2020-08-26","2020-08-26",25,"England","E92000001",0.00075,0.0014,0.00035,7596145
"age_school","2020-08-26","2020-08-26",35,"England","E92000001",0.00035,0.00065,0.00015,10853151
"age_school","2020-08-26","2020-08-26",50,"England","E92000001",2e-04,0.00045,1e-04,13618246
"age_school","2020-08-26","2020-08-26",70,"England","E92000001",3e-04,6e-04,1e-04,7679719
"age_school","2020-08-27","2020-08-27",2,"England","E92000001",0.00075,0.0015,0.00035,6254603
"age_school","2020-08-27","2020-08-27",11,"England","E92000001",3e-04,0.00075,1e-04,3370248
"age_school","2020-08-27","2020-08-27",16,"England","E92000001",0.00085,0.0018,0.00035,5950637
"age_school","2020-08-27","2020-08-27",25,"England","E92000001",8e-04,0.00145,0.00035,7596145
"age_school","2020-08-27","2020-08-27",35,"England","E92000001",0.00035,0.00065,0.00015,10853151
"age_school","2020-08-27","2020-08-27",50,"England","E92000001",0.00025,5e-04,1e-04,13618246
"age_school","2020-08-27","2020-08-27",70,"England","E92000001",3e-04,6e-04,1e-04,7679719
"age_school","2020-08-28","2020-08-28",2,"England","E92000001",8e-04,0.0015,4e-04,6254603
"age_school","2020-08-28","2020-08-28",11,"England","E92000001",3e-04,8e-04,1e-04,3370248
"age_school","2020-08-28","2020-08-28",16,"England","E92000001",9e-04,0.0018,4e-04,5950637
"age_school","2020-08-28","2020-08-28",25,"England","E92000001",9e-04,0.0016,5e-04,7596145
"age_school","2020-08-28","2020-08-28",35,"England","E92000001",4e-04,7e-04,2e-04,10853151
"age_school","2020-08-28","2020-08-28",50,"England","E92000001",3e-04,5e-04,2e-04,13618246
"age_school","2020-08-28","2020-08-28",70,"England","E92000001",3e-04,6e-04,2e-04,7679719
"age_school","2020-08-29","2020-08-29",2,"England","E92000001",9e-04,0.0016,4e-04,6254603
"age_school","2020-08-29","2020-08-29",11,"England","E92000001",3e-04,8e-04,1e-04,3370248
"age_school","2020-08-29","2020-08-29",16,"England","E92000001",0.001,0.0019,5e-04,5950637
