"country","date","cases_new","cases_total","deaths_new","deaths_total","recovered_new","recovered_total","hosp_new","hosp_total","tested_new","tested_total"
"England",2020-01-30,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-01-31,0,2,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-02-01,0,2,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-02-02,0,2,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-02-03,0,2,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-02-04,0,2,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-02-05,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-02-06,0,3,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-02-07,0,3,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-02-08,4,7,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-02-09,1,8,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-02-10,0,8,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-02-11,1,9,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-02-12,0,9,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-02-13,0,9,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-02-14,0,9,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-02-15,0,9,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-02-16,0,9,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-02-17,0,9,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-02-18,0,9,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-02-19,0,9,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-02-20,0,9,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-02-21,1,10,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-02-22,0,10,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-02-23,1,11,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-02-24,2,13,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-02-25,5,18,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-02-26,4,22,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-02-27,7,29,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-02-28,11,40,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-02-29,5,45,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-03-01,20,65,NA,NA,NA,NA,NA,NA,NA,NA
"England",2020-03-02,38,103,1,1,NA,NA,NA,NA,NA,NA
"England",2020-03-03,54,157,2,3,NA,NA,NA,NA,NA,NA
"England",2020-03-04,49,206,0,3,NA,NA,NA,NA,NA,NA
"England",2020-03-05,46,252,3,6,NA,NA,NA,NA,NA,NA
"England",2020-03-06,73,325,0,6,NA,NA,NA,NA,NA,NA
"England",2020-03-07,55,380,0,6,NA,NA,NA,NA,NA,NA
"England",2020-03-08,50,430,3,9,NA,NA,NA,NA,NA,NA
"England",2020-03-09,125,555,5,14,NA,NA,NA,NA,NA,NA
"England",2020-03-10,228,783,3,17,NA,NA,NA,NA,NA,NA
"England",2020-03-11,351,1134,8,25,NA,NA,NA,NA,NA,NA
"England",2020-03-12,415,1549,12,37,NA,NA,NA,NA,NA,NA
"England",2020-03-13,392,1941,16,53,NA,NA,NA,NA,NA,NA
"England",2020-03-14,315,2256,20,73,NA,NA,NA,NA,NA,NA
"England",2020-03-15,396,2652,32,105,NA,NA,NA,NA,NA,NA
"England",2020-03-16,544,3196,43,148,NA,NA,NA,NA,NA,NA
"England",2020-03-17,680,3876,50,198,NA,NA,NA,NA,NA,NA
"England",2020-03-18,908,4784,67,265,NA,NA,NA,NA,NA,NA
"England",2020-03-19,927,5711,67,332,NA,NA,586,586,NA,NA
"England",2020-03-20,1084,6795,102,434,NA,NA,691,1277,NA,NA
"England",2020-03-21,1029,7824,116,550,NA,NA,777,2054,NA,NA
"England",2020-03-22,1206,9030,153,703,NA,NA,859,2913,NA,NA
"England",2020-03-23,2011,11041,173,876,NA,NA,1128,4041,NA,NA
"England",2020-03-24,2025,13066,219,1095,NA,NA,1544,5585,NA,NA
"England",2020-03-25,2255,15321,278,1373,NA,NA,1755,7340,NA,NA
"England",2020-03-26,2606,17927,337,1710,NA,NA,1639,8979,NA,NA
"England",2020-03-27,2646,20573,374,2084,NA,NA,1931,10910,NA,NA
"England",2020-03-28,2368,22941,384,2468,NA,NA,1873,12783,NA,NA
"England",2020-03-29,2436,25377,464,2932,NA,NA,2186,14969,NA,NA
"England",2020-03-30,3514,28891,541,3473,NA,NA,2817,17786,NA,NA
"England",2020-03-31,3781,32672,603,4076,NA,NA,2447,20233,NA,NA
"England",2020-04-01,4117,36789,698,4774,NA,NA,3099,23332,NA,NA
"England",2020-04-02,4061,40850,732,5506,NA,NA,2932,26264,NA,NA
"England",2020-04-03,4077,44927,743,6249,NA,NA,2564,28828,NA,NA
"England",2020-04-04,3378,48305,838,7087,NA,NA,2593,31421,NA,NA
