"country","date","population","S","cum_v","cum_hosp","cum_deaths","cum_exp","cum_prop_v","cum_prop_exp","cum_inc_hosp","cum_inc_deaths","population_q95l","S_q95l","cum_v_q95l","cum_hosp_q95l","cum_deaths_q95l","cum_exp_q95l","cum_prop_v_q95l","cum_prop_exp_q95l","cum_inc_hosp_q95l","cum_inc_deaths_q95l","population_q95u","S_q95u","cum_v_q95u","cum_hosp_q95u","cum_deaths_q95u","cum_exp_q95u","cum_prop_v_q95u","cum_prop_exp_q95u","cum_inc_hosp_q95u","cum_inc_deaths_q95u","prop_pop_60plus"
"Austria",2021-10-31,9006400,2636276.46881539,5758274,23659.4672067845,5379.16967577917,704129.659832047,0.639353570794102,0.0781810334686497,0.00262696162804056,0.000597260800739382,9006400,651201.319658552,5758274,20887.832348985,4735.42868647666,587577.430414838,0.639353570794102,0.0652399882766519,0.00231922103714969,0.000525784851491901,9006400,2741438.23230046,5758274,27713.9823449545,6387.26594350776,164248287.351833,0.639353570794102,18.2368412852897,0.00307714318095515,0.000709191901704094,0.256701012613253
"Belgium",2021-10-31,11589616,1473924.12932776,8611685,14633.4282462848,4378.87582602582,1925936.27008153,0.743051797402088,0.166177746534616,0.00126263270899439,0.000377827516116653,11589616,1093559.35117883,8611685,13308.6823254983,3910.45662960503,1662921.81738226,0.743051797402088,0.143483771799019,0.00114832815215779,0.000337410370594249,11589616,1702883.80124873,8611685,16320.1403203372,4970.57846151727,2462218.85279556,0.743051797402088,0.212450425691029,0.00140816920252899,0.000428882066629064,0.256039544364542
"Czechia",2021-10-31,10708982,2208368.55896106,6091612,12836.4474079656,3015.85764985106,2869024.15408423,0.568832032773984,0.267908205848532,0.00119866177830587,0.000281619452703447,10708982,1870284.4426381,6091612,11945.956808225,2749.98685099021,2583652.9579222,0.568832032773984,0.241260369839281,0.0011155081601804,0.00025679255516446,10708982,2456080.32428311,6091612,13882.4006336334,3324.55742594882,3277572.04351596,0.568832032773984,0.306058226964614,0.0012963324276419,0.000310445701183252,0.261540452677948
"Denmark",2021-10-31,5792203,1443033.49299215,4145961,6254.25352195836,1489.28163428474,277707.426656099,0.7157830966905,0.0479450438211678,0.00107977112023842,0.000257118342413886,5792203,1323898.50478698,4145961,5486.31108710239,1263.87066767754,206851.956372134,0.7157830966905,0.0357121386063531,0.000947189020671822,0.000218202067102542,5792203,1499998.21977298,4145961,7677.37177568143,1920.7298628425,494627.788094645,0.7157830966905,0.0853954511080923,0.00132546662740954,0.000331606102694,0.261323886611018
"England",2021-10-31,56027105.6,7643091.71849887,40538715,34851.4267518633,10478.619059372,16862029.1340102,0.723555403511689,0.300961988905781,0.000622045818334462,0.000187027670752494,56027105.6,6103860.36997847,40538715,32678.0580565519,9902.99418640836,15233511.7293762,0.723555403511689,0.271895390030218,0.000583254439196871,0.000176753628094048,56027105.6,8755654.04652138,40538715,37375.560221199,11334.6160452285,19083286.1185119,0.723555403511689,0.340608102348802,0.000667097823829025,0.000202305936097268,0.236913088010756
"Finland",2021-10-31,5540718,1174074.10023126,4145818,11698.6946657282,3020.49655007639,246380.346705732,0.748245624484047,0.0444672236893724,0.00211140409342763,0.000545145331358931,5540718,1064502.71538719,4145818,9575.6119016251,2305.5263328775,174807.646418821,0.748245624484047,0.0315496378662154,0.00172822581868002,0.000416106059336985,5540718,1239141.03382309,4145818,17551.9667375099,4825.22685572292,389129.118774313,0.748245624484047,0.0702308110202167,0.00316781448496564,0.000870866710004538,0.289913870368425
"France",2021-10-31,65273512,7990869.15697632,50514009,79956.9083689486,23042.018023998,10154642.7625057,0.773882198953842,0.155570651116577,0.00122495183603647,0.000353007174242409,65273512,6986117.53755922,50514009,73552.8246059174,20959.9726080558,9225683.19743308,0.773882198953842,0.141338851162675,0.00112684031167064,0.000321109925999627,65273512,8666617.1585338,50514009,85876.5831832011,24917.8736049505,11812983.3885345,0.773882198953842,0.180976678388846,0.00131564214260757,0.000381745563268458,0.268405321901478
"Germany",2021-10-31,83783945,18980768.8882001,56731672,282077.980776882,115051.108307875,8510116.22009708,0.677118653221688,0.101572159440536,0.00336673071167611,0.0013731880052661,83783945,17866698.7038066,56731672,258348.748749259,104167.229584182,7706969.77071805,0.677118653221688,0.0919862363931187,0.00308351139050876,0.00124328389626655,83783945,19715327.5702061,56731672,310742.611006458,128929.401200743,9839959.63729602,0.677118653221688,0.11744445355606,0.00370885628513265,0.00153883182751472,0.286347223206069
"Greece",2021-10-31,10423056,2110955.23842545,6412477,36912.0557638312,15747.8092770879,2123476.48312903,0.615220430553189,0.203728780036203,0.00354138515266839,0.00151086296351933,10423056,1762953.18780078,6412477,32662.0976039801,13901.1850567997,1880982.23716442,0.615220430553189,0.180463602724999,0.00313363927086069,0.00133369570851387,10423056,2317311.72347532,6412477,41797.9616469937,18053.5262217963,2576427.31225162,0.615220430553189,0.247185404381558,0.00401014459166234,0.00173207610338045,0.287750540724333
"Hungary",2021-10-31,9660350,0,5844747,10285.40727216,2724.72685876753,6032735.32222448,0.605024352119747,0.624484135898232,0.00106470337743042,0.000282052602521392,9660350,0,5844747,9773.60046650157,2574.72793702048,5422964.36341544,0.605024352119747,0.561363135229617,0.00101172322602199,0.000266525326413689,9660350,91881.3326553249,5844747,10923.1577197533,2921.47843774833,7072389.08748689,0.605024352119747,0.732104849978199,0.00113072070057019,0.000302419522869081,0.267500038818469
