"country","date","population","S","V","R","cum_v","cum_hosp","cum_deaths","cum_exp","cum_prop_v","cum_prop_exp","cum_inc_hosp","cum_inc_deaths","population_q95l","S_q95l","V_q95l","R_q95l","cum_v_q95l","cum_hosp_q95l","cum_deaths_q95l","cum_exp_q95l","cum_prop_v_q95l","cum_prop_exp_q95l","cum_inc_hosp_q95l","cum_inc_deaths_q95l","population_q95u","S_q95u","V_q95u","R_q95u","cum_v_q95u","cum_hosp_q95u","cum_deaths_q95u","cum_exp_q95u","cum_prop_v_q95u","cum_prop_exp_q95u","cum_inc_hosp_q95u","cum_inc_deaths_q95u","prop_pop_60plus","prevS","prevS_q95l","prevS_q95u","prevV","prevV_q95l","prevV_q95u","prevR","prevR_q95l","prevR_q95u"
"Austria",2021-11-21,9006400,2714080.43492034,5272405.03529966,976213.440298782,5867472,63426.0768450352,10719.0436399756,1025303.58846548,0.65147806004619,0.113841666866393,0.00704233398972233,0.00119015851394293,9006400,2510653.42889132,5161262.81774915,820615.500386027,5867472,51218.6604364684,9273.82194688454,854273.122113387,0.65147806004619,0.0948517856317049,0.00568691823997028,0.00102969243503337,9006400,2817064.97399214,5343006.10688608,1226086.91511544,5867472,77071.21451583,12385.0194395841,1349456.78489885,0.65147806004619,0.149833094788022,0.00855738302938244,0.0013751353970048,0.256701012613253,0.301350199293873,0.278763260447162,0.312784794589641,0.585406492638531,0.573066132722192,0.593245481755871,0.108391081930492,0.091114707362101,0.136135072294751
"Belgium",2021-11-21,11589616,2244417.46024666,7264423.03226683,2010358.52363573,8693334.00000001,74088.1518690821,16067.5990340147,2090359.70647509,0.75009681080029,0.180364880637554,0.00639263215184024,0.00138637889590256,11589616,1933573.59806765,7021737.28122459,1729374.10047576,8693334.00000001,56549.5252112219,13563.8117984619,1778829.80004571,0.75009681080029,0.153484791907317,0.00487932690877954,0.00117034177823164,11589616,2385400.01465564,7432309.28453207,2391477.95520326,8693334.00000001,92414.0720460246,18803.1573123717,2671174.42000887,0.75009681080029,0.230479976213954,0.00797386833576061,0.00162241417768904,0.256039544364542,0.193657620774205,0.166836726779183,0.20582217863436,0.626804462914632,0.605864532632021,0.64129038309225,0.1734620477189,0.149217549613013,0.206346608481529
"Czechia",2021-11-21,10708982,2992984.58288238,4304245.21399623,3276257.56476771,6171386,78778.0912880464,14232.5803707034,3434815.59562314,0.576281293590745,0.320741560273716,0.00735626330196899,0.00132903205652073,10708982,2515046.42640626,4105638.0981945,2932155.44754333,6171386,62980.8966020597,12299.8977658708,3026359.22275606,0.576281293590745,0.282600084933943,0.00588112825309257,0.0011485590101721,10708982,3255251.7532198,4453059.01606579,3773536.5485703,6171386,95937.7737127654,16458.1520856209,4137649.22407924,0.576281293590745,0.386371853466486,0.00895862685293199,0.00153685495835374,0.261540452677948,0.279483575832173,0.234853922287502,0.303973968134394,0.401928513279435,0.383382668697595,0.415824680260532,0.305935481520812,0.273803378093579,0.352371172962127
"Denmark",2021-11-21,5792203,1507840.22521357,3976876.93812149,297720.371686456,4159196,20405.1056801403,2944.86531574854,332416.86680556,0.718068064948691,0.0573904034105089,0.00352285748274712,0.000508418872016146,5792203,1400728.36146777,3385001.02602278,206788.790634528,4159196,16345.3507149039,2554.41944504886,229165.700730571,0.718068064948691,0.0395645146985648,0.00282195750302672,0.000441010000003257,5792203,1558590.08245993,4019878.98551192,1870365.03003737,4159196,27740.4642567009,3914.26381565603,54256598.4692332,0.718068064948691,9.36717833771248,0.00478927693948243,0.000675781531768833,0.261323886611018,0.260322406727383,0.241829984458032,0.269084160631098,0.686591429568593,0.584406490246074,0.694015556000354,0.0514001963823534,0.0357012333018245,0.322910821674822
"England",2021-11-21,56027105.6,10229001.4315533,30258647.028615,15114090.5865541,41206303,180859.413033101,32561.5265560775,16217099.4411797,0.735470850380677,0.289450958915495,0.00322806989753012,0.00058117452628282,56027105.6,9149480.67308055,29218690.4074624,13637763.3114525,41206303,142151.588629853,28235.2996697165,14522359.0711962,0.735470850380677,0.25920237919976,0.0025371931515565,0.000503957849818258,56027105.6,10937037.9169738,31169942.0978212,16829606.4308136,41206303,220189.048032133,37815.4132108553,18353497.5629741,0.735470850380677,0.327582468635933,0.00393004503220549,0.000674948541529786,0.236913088010756,0.182572369605924,0.163304539384961,0.195209761415443,0.540071572582094,0.521509903011345,0.556336825970557,0.269763901324113,0.243413668534262,0.300383292168739
"Finland",2021-11-21,5540718,1176148.10613625,3981302.49117682,375188.730347462,4211093,31304.8925608959,5901.32388748021,385846.114197909,0.7600265886118,0.0696382877089051,0.00564997037584225,0.00106508288050036,5540718,1056927.02249046,3890795.67915037,273358.941658771,4211093,23842.059989588,4313.69282931531,279028.287738736,0.7600265886118,0.0503595901720203,0.00430306324732427,0.000778544013486215,5540718,1227675.68528164,4035890.50008526,561364.448365873,4211093,45171.0021425093,8868.41450388238,586189.677970084,0.7600265886118,0.105796699628114,0.008152553900507,0.00160058940084703,0.289913870368425,0.212273590920211,0.190756328419973,0.221573392704996,0.718553532444139,0.702218679808352,0.728405686787392,0.0677148214992104,0.049336375115783,0.101316191938639
"France",2021-11-21,65273512,11544185.9364007,42973124.171755,10551150.6623593,51176595,364961.885901223,80295.5295322258,10779239.0054732,0.784033115913849,0.165139559297394,0.00559127086499073,0.00123013956307768,65273512,10796938.1453016,41949009.5722617,9708519.39642551,51176595,279408.546553787,67844.3670277361,9839724.78420847,0.784033115913849,0.150746060426601,0.00428058086645908,0.00103938588485535,65273512,11910682.3612318,43568295.9941671,11796412.7456962,51176595,457263.831010163,94236.2931030323,12641588.1046824,0.784033115913849,0.193671026996102,0.00700535051661021,0.00144371415319329,0.268405321901478,0.176858661081401,0.165410712775829,0.182473441313098,0.658354711659379,0.642665122297414,0.667472833301311,0.161645211649702,0.14873597419464,0.180722813653664
"Germany",2021-11-21,83783945,25510206.0330898,48738596.8092325,9393602.35722433,54225149,816493.017946477,165444.536809033,9553954.5029213,0.647202145948129,0.11403085045615,0.00974522049476755,0.00197465680100207,83783945,24623453.990485,48278959.3186438,8569719.34664152,54225149,647976.61705981,145106.050238473,8681387.4143164,0.647202145948129,0.103616360083264,0.00773389958016192,0.00173190758967572,83783945,26011037.5123613,49136728.9391188,10366011.4644438,54225149,996470.505303583,188150.341643107,10956340.5978304,0.647202145948129,0.130768974865416,0.011893334758868,0.00224566104691188,0.286347223206069,0.304476066782124,0.293892272445336,0.310453721322877,0.58171761677291,0.576231631473593,0.586469507244125,0.112116973690178,0.102283550227213,0.123723124572898
"Greece",2021-11-21,10423056,2691363.88046492,5132800.90833848,2425562.07659,6546668,123213.278266772,30380.2755207079,2629572.60191366,0.628094869681215,0.252284224695105,0.0118212238586047,0.00291471863153262,10423056,2328368.51581218,4950624.39567009,2132041.07028251,6546668,88693.1412396115,25288.2548179163,2242416.1113507,0.628094869681215,0.215139984986237,0.00850932214502268,0.0024261842992992,10423056,2909716.14894694,5288136.08352948,2752667.73543025,6546668,160627.115927056,36210.2012252292,3213773.40025537,0.628094869681215,0.308333122287299,0.0154107505444714,0.00347404841969852,0.287750540724333,0.258212551142862,0.223386357687436,0.27916151932283,0.492446832132388,0.474968607639649,0.507349867786327,0.232711219875438,0.204550476394112,0.264094113610275
"Hungary",2021-11-21,9660350,435492.618112333,1860744.82073718,6982690.49816029,5887042,43026.4349609092,10545.4917316128,7425753.09010136,0.609402557878337,0.768683649153639,0.0044539209201436,0.00109162625904991,9660350,130313.818247679,1290414.52053701,6304779.31533716,5887042,29927.1093283103,8512.49198508217,6606385.43145303,0.609402557878337,0.68386605365779,0.00309793220000417,0.000881178423668104,9660350,834166.63440218,2260750.03801341,7753505.8925553,5887042,55687.3558492358,12810.6590869643,8760024.81591405,0.609402557878337,0.906802011926488,0.00576452777065384,0.0013261071376259,0.267500038818469,0.0450804182159377,0.0134895545448849,0.0863495250588415,0.19261670858066,0.133578443900792,0.234023615915926,0.722819618146371,0.652645019625289,0.802611281429276
